task,model,validation_accuracy,validation_precision_weighted,validation_recall_weighted,validation_f1_weighted,validation_f1_macro,fit_seconds
classification,XGBoost,0.5024562287441743,0.49903268356515845,0.5024562287441743,0.4573396099878648,0.3233912873491537,5.196
classification,Random Forest,0.44741151278498553,0.46234866750789916,0.44741151278498553,0.45262002189435424,0.3475481227210501,5.113
classification,Logistic Regression,0.23466431540496285,0.4480972023278415,0.23466431540496285,0.2881818434275956,0.21356545060540322,19.53
